trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
349,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,0,37.52751122515172,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
350,False,"{'a': 0.5, 'e': 0.17464498896681085}",25,15,14.594952536274363,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.17377394345044514}",20,0,27.719585221445946,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
352,False,"{'a': 0.5, 'e': 0.17290724229171636}",25,1,25.424019284717488,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.5, 'e': 0.17204486382305054}",25,13,20.152805185739176,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.1711867864849409}",30,10,32.7697695354512,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.17033298882540943}",35,15,30.6810087482679,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.16948344949947006}",30,9,31.817189758605764,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.1686381472685955}",30,15,23.541532016649718,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.5, 'e': 0.16779706100018585}",20,0,30.335043433534107,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
359,False,"{'a': 0.5, 'e': 0.1669601696670407}",20,0,27.054922970643375,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
360,False,"{'a': 0.5, 'e': 0.16612745234683307}",20,16,6.925529619460049,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,9,21.10960381877759,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.5, 'e': 0.1644744565771549}",20,0,29.21525749717915,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
